Time	   Frame       x-pixel	  y-pixel
175.800000 2637.000000 617.000000 911.000000
175.866667 2638.000000 624.000000 909.000000
175.933333 2639.000000 633.000000 908.000000
176.000000 2640.000000 640.000000 909.000000
176.066667 2641.000000 647.000000 909.000000
176.133333 2642.000000 654.000000 909.000000
176.200000 2643.000000 660.000000 911.000000
176.266667 2644.000000 667.000000 914.000000
176.333333 2645.000000 673.000000 914.000000
176.400000 2646.000000 680.000000 918.000000
176.466667 2647.000000 686.000000 921.000000
176.533333 2648.000000 687.000000 925.000000
176.600000 2649.000000 688.000000 929.000000
176.666667 2650.000000 686.000000 933.000000
176.733333 2651.000000 686.000000 937.000000
176.800000 2652.000000 684.000000 940.000000
176.866667 2653.000000 686.000000 943.000000
176.933333 2654.000000 689.000000 946.000000
177.000000 2655.000000 689.000000 946.000000
177.066667 2656.000000 690.000000 948.000000
177.133333 2657.000000 688.000000 949.000000
177.200000 2658.000000 687.000000 952.000000
177.266667 2659.000000 687.000000 952.000000
177.333333 2660.000000 690.000000 954.000000
177.400000 2661.000000 694.000000 955.000000
177.466667 2662.000000 699.000000 953.000000
177.533333 2663.000000 706.000000 951.000000
177.600000 2664.000000 712.000000 950.000000
177.666667 2665.000000 718.000000 948.000000
177.733333 2666.000000 724.000000 946.000000
177.800000 2667.000000 734.000000 944.000000
177.866667 2668.000000 745.000000 941.000000
177.933333 2669.000000 754.000000 938.000000
178.000000 2670.000000 763.000000 934.000000
178.066667 2671.000000 768.000000 932.000000
178.133333 2672.000000 773.000000 928.000000
178.200000 2673.000000 777.000000 922.000000
178.266667 2674.000000 782.000000 916.000000
178.333333 2675.000000 787.000000 911.000000
178.400000 2676.000000 791.000000 903.000000
178.466667 2677.000000 793.000000 896.000000
178.533333 2678.000000 795.000000 891.000000
178.600000 2679.000000 794.000000 884.000000
178.666667 2680.000000 793.000000 878.000000
178.733333 2681.000000 795.000000 873.000000
178.800000 2682.000000 799.000000 867.000000
178.866667 2683.000000 802.000000 863.000000
178.933333 2684.000000 806.000000 857.000000
179.000000 2685.000000 809.000000 854.000000
179.066667 2686.000000 812.000000 850.000000
179.133333 2687.000000 815.000000 846.000000
179.200000 2688.000000 819.000000 843.000000
179.266667 2689.000000 823.000000 842.000000
179.333333 2690.000000 826.000000 837.000000
179.400000 2691.000000 830.000000 834.000000
179.466667 2692.000000 834.000000 833.000000
179.533333 2693.000000 838.000000 828.000000
179.600000 2694.000000 840.000000 826.000000
179.666667 2695.000000 844.000000 825.000000
179.733333 2696.000000 849.000000 822.000000
179.800000 2697.000000 855.000000 818.000000
179.866667 2698.000000 863.000000 815.000000
179.933333 2699.000000 868.000000 814.000000
180.000000 2700.000000 873.000000 812.000000
180.066667 2701.000000 875.000000 811.000000
180.133333 2702.000000 878.000000 810.000000
180.200000 2703.000000 883.000000 811.000000
180.266667 2704.000000 888.000000 810.000000
180.333333 2705.000000 893.000000 809.000000
180.400000 2706.000000 899.000000 811.000000
180.466667 2707.000000 902.000000 811.000000
180.533333 2708.000000 904.000000 810.000000
180.600000 2709.000000 907.000000 811.000000
180.666667 2710.000000 912.000000 812.000000
180.733333 2711.000000 915.000000 810.000000
180.800000 2712.000000 920.000000 810.000000
180.866667 2713.000000 923.000000 810.000000
180.933333 2714.000000 920.000000 808.000000
